x_m,y_m,w_tr_right_m,w_tr_left_m
7.919345805286854,18.303383502619525,2.5974753521776943,4.827140946548347
4.73433890885431,21.309021961707472,2.5818699015113915,5.46078925815424
2.1947446084577407,24.868712085821073,2.7124818045035575,6.172614959715327
1.2731122627953568,26.758433240576036,2.8858848840724485,8.830619694390487
-0.09792494725998435,30.958610010266614,2.595351633559585,9.519449668032678
-0.5070301676865772,35.32961611989353,2.5406105962556342,10.134830663430579
-0.031229736868128466,39.65321451169339,2.7030888376628837,10.567640502745586
0.39374901362103387,41.66243447806786,2.7486468695026227,13.033655652067337
1.5168799866177398,45.88149026967827,2.6122319240744654,13.089168107173348
2.7499708995252012,50.10189248704264,2.560606349271509,12.948041199797695
3.8451334847561855,54.3832567359547,2.582909534604714,12.754185999566952
4.553596555369149,58.78373338349296,2.6627867700769774,12.224486515855169
4.175625983161525,65.51637335903739,2.6543607581915216,8.843967732236605
2.3090221736222403,69.39185673476798,2.6931402496722185,8.289507319520958
-3.2144384655010665,72.89214853343563,2.6771735066379425,5.840634540872355
-7.457801232046686,74.18630954613853,2.5300934820084255,5.580973858137151
-11.835580153612693,74.68370783887755,2.473323866073533,5.404242482652002
-16.244577237148647,74.35530028889036,2.488414877673929,5.139356052965952
-20.504043201551173,73.14255177617505,2.5260269741731163,4.598350816911256
-25.533550980991045,69.15693720041709,2.632621451591299,2.6326214515912953
-27.092430291943934,65.00117691653466,2.647077557225489,2.647077557225489
-26.49283447645177,58.430560204969595,2.7226997218327162,4.23571764401134
-24.844500541110534,54.42985739367876,2.53259520847521,4.445292152944896
-22.85683042698828,50.48807176769766,2.5825129195688166,4.395956051116489
-21.90823870629999,48.57517770032477,2.6900273713114466,2.6900273713114466
-20.494787116503478,44.38784584713245,2.5938685745927983,2.5938685745927983
-20.366573102615586,39.95999661468802,2.6824024274399894,2.6824024274399894
-20.97070252812503,37.952214227476404,2.6787276011573184,5.135452697151742
-23.794219804656468,34.793355932933444,2.6759879852367514,6.519751710722859
-25.713217167869587,33.88296117672081,2.5857391180100504,9.12305589313421
-29.93668116226202,32.407403397154326,2.5010602509004745,8.28363145620657
-35.46935195916889,28.990813323544323,2.9980105329945053,4.764935278181963
-36.64202071952123,22.576833194222132,2.6267134004461616,2.626713400446155
-34.76449474616285,18.69803116813375,2.535404290366195,2.535404290366195
-31.35787870268249,15.941707320456779,2.8899392350687134,2.8899392350687094
-25.777188692008792,12.286243356163624,3.1686492707232654,4.504513857390929
-21.965869936906188,10.121149731838598,3.298916316456399,4.60458012586587
-20.12939991114871,9.107578794099915,3.3136851672583347,3.313685167258338
-16.328061939281667,6.979108879999551,3.224923912589929,3.224923912589929
-12.525199534120137,4.845259001505676,3.0642840657135584,3.064284065713559
-8.737450958729685,2.6579295665153646,2.8598415939373534,2.8598415939373525
-4.9814544761759985,0.36902098292576824,2.6399534697825335,2.6399534697825335
-1.2738483495246489,-2.0695663413660363,2.4324777414342713,2.4324777414342713
