x,y
121.0,109.0
88.0,81.0
120.0,111.0
96.0,89.0
119.0,112.0
88.0,82.0
95.0,90.0
117.0,114.0
88.0,83.0
96.0,93.0
94.0,91.0
88.0,84.0
94.0,92.0
88.0,85.0
95.0,95.0
87.0,84.0
88.0,86.0
87.0,85.0
88.0,87.0
87.0,86.0
93.0,97.0
86.0,85.0
93.0,99.0
86.0,86.0
87.0,89.0
86.0,87.0
86.0,88.0
92.0,103.0
86.0,89.0
86.0,90.0
86.0,91.0
85.0,89.0
85.0,90.0
85.0,91.0
85.0,92.0
85.0,93.0
85.0,95.0
84.0,92.0
84.0,93.0
84.0,95.0
84.0,97.0
84.0,100.0
83.0,96.0
83.0,99.0
83.0,103.0
82.0,100.0
82.0,103.0
83.0,133.0
81.0,105.0
81.0,137.0
80.0,107.0
79.0,111.0
78.0,114.0
77.0,118.0
76.0,123.0
75.0,125.0
74.0,128.0
73.0,130.0
71.0,134.0
70.0,135.0
69.0,136.0
67.0,138.0
66.0,139.0
64.0,139.0
63.0,139.0
62.0,139.0
61.0,140.0
60.0,139.0
58.0,139.0
57.0,138.0
56.0,137.0
55.0,137.0
54.0,137.0
53.0,136.0
52.0,136.0
51.0,135.0
50.0,135.0
49.0,134.0
48.0,133.0
47.0,132.0
46.0,132.0
45.0,131.0
44.0,130.0
43.0,130.0
42.0,129.0
41.0,128.0
41.0,127.0
40.0,126.0
39.0,125.0
39.0,124.0
38.0,123.0
37.0,122.0
37.0,121.0
37.0,120.0
36.0,119.0
36.0,117.0
36.0,116.0
36.0,114.0
37.0,112.0
37.0,111.0
38.0,109.0
38.0,107.0
47.0,99.0
48.0,98.0
55.0,92.0
58.0,89.0
59.0,88.0
61.0,86.0
62.0,85.0
63.0,84.0
64.0,83.0
60.0,85.0
63.0,83.0
64.0,82.0
63.0,82.0
36.0,94.0
64.0,81.0
63.0,81.0
65.0,80.0
64.0,80.0
63.0,80.0
65.0,79.0
64.0,79.0
63.0,79.0
66.0,78.0
65.0,78.0
50.0,81.0
66.0,77.0
65.0,77.0
64.0,77.0
51.0,79.0
67.0,76.0
65.0,76.0
55.0,77.0
51.0,77.0
67.0,75.0
65.0,75.0
56.0,75.0
67.0,74.0
57.0,73.0
67.0,73.0
57.0,71.0
67.0,72.0
57.0,70.0
58.0,70.0
67.0,71.0
66.0,70.0
67.0,70.0
66.0,69.0
67.0,69.0
68.0,69.0
66.0,68.0
67.0,68.0
57.0,63.0
68.0,68.0
57.0,62.0
67.0,67.0
66.0,66.0
68.0,67.0
67.0,66.0
69.0,67.0
68.0,66.0
70.0,67.0
55.0,56.0
69.0,66.0
67.0,64.0
70.0,66.0
69.0,65.0
67.0,63.0
71.0,66.0
69.0,64.0
45.0,41.0
49.0,44.0
71.0,65.0
66.0,59.0
70.0,63.0
71.0,64.0
69.0,61.0
71.0,63.0
69.0,60.0
70.0,61.0
71.0,62.0
70.0,60.0
69.0,58.0
