x,y
203.0,58.0
203.0,60.0
203.0,62.0
204.0,65.0
204.0,67.0
204.0,69.0
204.0,71.0
205.0,74.0
205.0,76.0
205.0,78.0
205.0,80.0
205.0,82.0
204.0,85.0
204.0,87.0
204.0,88.0
203.0,90.0
202.0,93.0
201.0,95.0
200.0,97.0
199.0,99.0
198.0,100.0
197.0,102.0
196.0,106.0
195.0,108.0
194.0,110.0
193.0,112.0
192.0,114.0
192.0,115.0
190.0,118.0
189.0,119.0
188.0,122.0
187.0,124.0
186.0,125.0
185.0,128.0
184.0,129.0
183.0,132.0
182.0,134.0
181.0,135.0
180.0,138.0
179.0,139.0
178.0,141.0
176.0,145.0
175.0,147.0
174.0,150.0
173.0,152.0
172.0,154.0
171.0,156.0
169.0,159.0
168.0,161.0
167.0,164.0
165.0,166.0
164.0,168.0
163.0,171.0
161.0,174.0
160.0,177.0
158.0,179.0
157.0,183.0
156.0,185.0
154.0,189.0
153.0,192.0
153.0,198.0
150.0,200.0
148.0,202.0
146.0,203.0
144.0,205.0
142.0,206.0
139.0,207.0
136.0,207.0
133.0,207.0
130.0,207.0
127.0,206.0
124.0,205.0
120.0,203.0
116.0,196.0
93.0,104.0
92.0,104.0
92.0,106.0
91.0,111.0
90.0,113.0
90.0,115.0
89.0,119.0
88.0,122.0
87.0,126.0
85.0,133.0
84.0,136.0
83.0,138.0
81.0,141.0
79.0,145.0
77.0,146.0
76.0,147.0
74.0,149.0
72.0,151.0
70.0,152.0
68.0,152.0
66.0,152.0
64.0,152.0
62.0,152.0
60.0,152.0
58.0,152.0
57.0,152.0
55.0,152.0
53.0,152.0
52.0,152.0
49.0,150.0
47.0,150.0
46.0,149.0
45.0,149.0
43.0,148.0
42.0,147.0
40.0,144.0
39.0,144.0
37.0,143.0
36.0,142.0
34.0,141.0
33.0,140.0
32.0,138.0
31.0,136.0
30.0,134.0
30.0,131.0
29.0,129.0
28.0,128.0
27.0,126.0
26.0,125.0
25.0,123.0
24.0,120.0
24.0,119.0
24.0,117.0
26.0,112.0
24.0,111.0
26.0,108.0
27.0,104.0
28.0,102.0
29.0,99.0
39.0,88.0
56.0,71.0
68.0,60.0
58.0,68.0
58.0,67.0
69.0,58.0
58.0,66.0
57.0,66.0
57.0,65.0
58.0,64.0
57.0,64.0
56.0,64.0
57.0,63.0
56.0,63.0
56.0,62.0
55.0,62.0
56.0,61.0
55.0,61.0
56.0,60.0
55.0,60.0
55.0,59.0
54.0,59.0
55.0,58.0
53.0,58.0
55.0,57.0
53.0,57.0
52.0,57.0
53.0,56.0
52.0,56.0
52.0,55.0
64.0,52.0
52.0,54.0
51.0,54.0
51.0,53.0
50.0,53.0
50.0,52.0
49.0,52.0
49.0,51.0
48.0,50.0
60.0,49.0
47.0,49.0
46.0,48.0
46.0,47.0
58.0,47.0
45.0,46.0
44.0,45.0
60.0,46.0
44.0,44.0
44.0,43.0
43.0,42.0
42.0,41.0
43.0,41.0
41.0,40.0
41.0,39.0
41.0,38.0
42.0,38.0
41.0,37.0
41.0,36.0
41.0,35.0
42.0,35.0
42.0,34.0
42.0,33.0
43.0,33.0
43.0,32.0
43.0,31.0
44.0,31.0
44.0,30.0
44.0,29.0
45.0,29.0
45.0,28.0
45.0,27.0
45.0,26.0
46.0,26.0
46.0,25.0
47.0,25.0
47.0,24.0
47.0,23.0
47.0,22.0
48.0,22.0
48.0,21.0
49.0,21.0
49.0,20.0
50.0,20.0
50.0,19.0
51.0,19.0
51.0,18.0
52.0,17.0
53.0,17.0
53.0,16.0
54.0,16.0
55.0,16.0
55.0,15.0
56.0,15.0
56.0,14.0
57.0,14.0
57.0,13.0
58.0,13.0
59.0,13.0
59.0,12.0
60.0,12.0
61.0,12.0
62.0,12.0
63.0,13.0
63.0,12.0
64.0,12.0
64.0,11.0
65.0,11.0
66.0,11.0
66.0,10.0
67.0,10.0
68.0,11.0
69.0,12.0
70.0,12.0
71.0,13.0
71.0,12.0
72.0,12.0
73.0,12.0
74.0,14.0
74.0,12.0
75.0,12.0
76.0,14.0
76.0,13.0
77.0,13.0
78.0,13.0
79.0,14.0
80.0,15.0
81.0,27.0
81.0,15.0
82.0,15.0
83.0,15.0
83.0,27.0
84.0,15.0
85.0,15.0
86.0,15.0
86.0,16.0
87.0,16.0
88.0,15.0
89.0,15.0
89.0,16.0
90.0,15.0
90.0,16.0
91.0,15.0
92.0,15.0
92.0,16.0
93.0,15.0
94.0,15.0
94.0,16.0
95.0,15.0
96.0,15.0
96.0,16.0
97.0,15.0
98.0,15.0
98.0,16.0
99.0,15.0
100.0,15.0
101.0,15.0
101.0,16.0
102.0,15.0
103.0,15.0
103.0,16.0
104.0,16.0
105.0,16.0
106.0,16.0
107.0,16.0
107.0,17.0
109.0,15.0
110.0,15.0
111.0,15.0
112.0,15.0
113.0,15.0
116.0,13.0
118.0,13.0
119.0,13.0
120.0,13.0
123.0,12.0
123.0,13.0
124.0,13.0
125.0,14.0
125.0,15.0
127.0,15.0
129.0,15.0
130.0,15.0
131.0,15.0
134.0,15.0
140.0,13.0
140.0,14.0
143.0,14.0
144.0,14.0
146.0,15.0
149.0,15.0
152.0,15.0
156.0,15.0
159.0,15.0
161.0,16.0
165.0,16.0
178.0,13.0
181.0,13.0
183.0,15.0
186.0,16.0
188.0,17.0
190.0,19.0
191.0,20.0
193.0,21.0
193.0,23.0
194.0,26.0
195.0,27.0
196.0,29.0
197.0,31.0
198.0,33.0
198.0,34.0
198.0,36.0
198.0,38.0
199.0,40.0
199.0,42.0
200.0,45.0
200.0,46.0
203.0,56.0
203.0,57.0
193.0,57.0
203.0,58.0
203.0,59.0
203.0,60.0
203.0,61.0
202.0,61.0
203.0,62.0
204.0,63.0
203.0,63.0
204.0,64.0
203.0,64.0
204.0,65.0
204.0,66.0
203.0,66.0
204.0,67.0
204.0,68.0
203.0,68.0
204.0,69.0
204.0,70.0
203.0,70.0
204.0,71.0
204.0,72.0
203.0,72.0
205.0,74.0
204.0,74.0
205.0,75.0
205.0,76.0
205.0,77.0
205.0,78.0
204.0,78.0
205.0,79.0
205.0,80.0
205.0,81.0
205.0,82.0
204.0,82.0
204.0,83.0
204.0,84.0
204.0,85.0
204.0,86.0
204.0,87.0
204.0,88.0
203.0,89.0
203.0,90.0
202.0,90.0
202.0,91.0
202.0,92.0
202.0,93.0
201.0,94.0
201.0,95.0
200.0,95.0
200.0,97.0
199.0,97.0
199.0,99.0
198.0,99.0
198.0,100.0
197.0,101.0
197.0,102.0
196.0,103.0
196.0,105.0
196.0,106.0
195.0,107.0
195.0,108.0
194.0,110.0
193.0,110.0
